code,current,name,name_short,gender,function,country,nationality,nationality_code,height,weight,disciplines,events,birth_date
1945230,True,CHENG Yujie,CHENG Y,Female,Athlete,China,China,CHN,0.0,0.0,['Swimming'],"[Women's 4 x 100m Freestyle Relay, 'Relay Only Athlete']",2005-09-22
1945282,True,ARNOTT Alice,ARNOTT A,Female,Athlete,Australia,Australia,AUS,0.0,0.0,['Hockey'],['Women'],1998-02-25
1945284,True,LAWTON Amy,LAWTON A,Female,Athlete,Australia,Australia,AUS,0.0,0.0,['Hockey'],['Women'],2002-01-19
1945286,True,CHARTER Andrew,CHARTER A,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Hockey'],['Men'],1987-03-30
1945287,True,ZALEWSKI Aran,ZALEWSKI A,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Hockey'],['Men'],1991-03-21
1945291,True,GOVERS Blake,GOVERS B,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Hockey'],['Men'],1996-07-06
1945292,True,PERIS Brooke,PERIS B,Female,Athlete,Australia,Australia,AUS,0.0,0.0,['Hockey'],['Women'],1993-01-16
1945295,True,COLWILL Claire,COLWILL C,Female,Athlete,Australia,Australia,AUS,0.0,0.0,['Hockey'],['Women'],2003-09-19
1945301,True,OCKENDEN Eddie,OCKENDEN E,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Hockey'],['Men'],1987-04-03
1945302,True,OGILVIE Flynn,OGILVIE F,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Hockey'],['Men'],1993-09-17
1945303,True,STEWART Grace,STEWART G,Female,Athlete,Australia,Australia,AUS,0.0,0.0,['Hockey'],['Women'],1997-04-28
1945304,True,YOUNG Grace,YOUNG G,Female,Athlete,Australia,Australia,AUS,0.0,0.0,['Hockey'],['Women'],2002-08-23
1945307,True,SHAND Hattie,SHAND H,Female,Athlete,Australia,Australia,AUS,0.0,0.0,['Hockey'],['Women'],2000-01-11
1945311,True,HARVIE Jake,HARVIE J,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Hockey'],['Men'],1998-03-05
1945312,True,WHETTON Jake,WHETTON J,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Hockey'],['Men'],1991-06-15
1945314,True,CLAXTON Jane,CLAXTON J,Female,Athlete,Australia,Australia,AUS,0.0,0.0,['Hockey'],['Women'],1992-10-26
1945316,True,HAYWARD Jeremy,HAYWARD J,Male,Athlete,Australia,Australia,AUS,0.0,0.0,['Hockey'],['Men'],1993-03-03
